Subjects,NotTwin1,NotTwin2,NotTwin3,NotTwin4,NotTwin5,NotTwin6,NotTwin7,NotTwin8,NotTwin9,NotTwin10,NotTwin11,NotTwin12,NotTwin13,NotTwin14,NotTwin15,NotTwin16,NotTwin17,NotTwin18,NotTwin19,NotTwin20,NotTwin21,NotTwin22,NotTwin23,NotTwin24,NotTwin25
NotTwin1,0.9840629444661276,0.7296808600533423,0.8831111343244449,0.8613341396083797,0.8292511468863786,0.7736884110173251,0.8212837969427779,0.8428566475519351,0.8160062099073502,0.8604975563295618,0.8677865302049178,0.8595727783727026,0.8302936888772346,0.8491707908200292,0.8223875010851597,0.8302468327867221,0.8812716498188908,0.8706247640856305,0.8112452170752399,0.8001692989404331,0.836313394234897,0.8414454358000166,0.772524363502965,0.8601198196985614,0.7758021904525864
NotTwin2,0.8334796613218947,0.9594938925337012,0.7972759455219304,0.8198084673401261,0.8147257206129026,0.898524714624912,0.9062952039687715,0.844711939739399,0.8677113470634925,0.7261397307557815,0.8435949840646739,0.8277961377449885,0.8290417643791254,0.7503394385499208,0.8868451247031162,0.8910677607683081,0.8297957692366645,0.9037637354510457,0.8886804567638384,0.9047029019195336,0.8430943584236842,0.8460101576063,0.7767348197715064,0.8206670202426545,0.7513693361995286
NotTwin3,0.893541782622864,0.7026022251489807,0.9829368410642543,0.8836980005831437,0.8487966015969969,0.7455507811631059,0.8132804837696685,0.8674992329535095,0.7991377858137518,0.8879937774302386,0.8793838072799409,0.8451915194178765,0.837723630093145,0.8827873467260668,0.826603642220503,0.8053939948428872,0.8758233747653323,0.8520276810759231,0.7833469792297152,0.7878594438196276,0.8565809237056021,0.8375872496797375,0.781119138276704,0.875493093876637,0.7521979621631938
NotTwin4,0.8777408376328852,0.7951468606671865,0.8917063326092856,0.9858121503493087,0.8708426150184648,0.8104383067812948,0.8656237664432505,0.8905889051699981,0.8284093290435343,0.8441646418714234,0.8892263268883036,0.883553308363406,0.8786025472882082,0.8745085710607412,0.851926320582689,0.8536778361945991,0.8997839759648533,0.8780842137969467,0.8390926448916954,0.8551897203785463,0.8967693623451063,0.8688901313683339,0.8397431917415447,0.9017344626477121,0.8231142196158308
NotTwin5,0.8458234851239019,0.7771173499245412,0.8652244578239692,0.8816919218187915,0.9907077518640474,0.8151215830207416,0.8451161991126754,0.8693632728897279,0.814628555120521,0.8352496341772303,0.8787016839766093,0.8560975198940565,0.842035264788259,0.8540243783152563,0.8609236049203616,0.848278556606666,0.869701131122102,0.8651577462060768,0.823617860661976,0.8406065986147234,0.8772212685766483,0.8304514768500786,0.796490824974189,0.8679048898033398,0.7724345168049707
NotTwin6,0.8385863475675351,0.8635022656037316,0.823669497296988,0.8391621136067392,0.8572910224019747,0.9730716590196962,0.8927703452877455,0.8680067031465897,0.8930474614954603,0.7814722893958095,0.8520008281245863,0.8488879348221972,0.8444526226277781,0.7986041005649342,0.8950939328123032,0.8953927644308485,0.8625132341682084,0.8870030741214422,0.8784263765609395,0.9033240222538756,0.8626328548188917,0.8500685979506882,0.8144414397066553,0.843796534152075,0.7708510839057154
NotTwin7,0.8670595269474978,0.8319375392637133,0.8640751474648283,0.8807832438336655,0.8521563005303232,0.8382196957261994,0.9754118308005484,0.8929154848447896,0.8690797380496316,0.8155806510725041,0.8779065993489004,0.871107747946988,0.8722243825678441,0.8308621792965616,0.8975127646324041,0.8803908709081192,0.8645418480463156,0.8897445690306148,0.87747414934653,0.8771705404186749,0.8678430837865444,0.8850711967238158,0.8367758678309507,0.8728042702175416,0.7937066449652634
NotTwin8,0.8707183116971313,0.7989325735665282,0.8916380692096465,0.8815993909906035,0.8653659746500638,0.8083664872285388,0.8719675678408245,0.9899896628726659,0.8096875900093101,0.8274669574094038,0.8631762639237719,0.8646510697072266,0.8668350001226818,0.8408182800531759,0.8585118459655805,0.8287457520295819,0.8669592121485294,0.8693637873753154,0.8315451601151946,0.8542247115814716,0.8778564214019808,0.8539263827473278,0.8400801101337101,0.8718599935957847,0.805749534049353
NotTwin9,0.8138947475397783,0.7553418288919082,0.8074626887082409,0.8232962236172175,0.7947809546255831,0.8046561692013761,0.8450450911492342,0.8180282023731333,0.9672186939553651,0.7878159769836436,0.8614640637976599,0.831439890804745,0.8248134532624849,0.8015702527990933,0.8291590225127546,0.8067240306503454,0.8133255566282376,0.8501347558034495,0.8271501424272198,0.8082309653555635,0.8095449630493821,0.8739693881996038,0.7695022138954591,0.8419995105511802,0.7438480080458757
NotTwin10,0.8665289009543351,0.6745962212960828,0.8962546083814722,0.8787125740831642,0.8464131942788113,0.7389467597192221,0.8012789173630783,0.8448534082088194,0.7959536938717562,0.978187364425112,0.8711362585615273,0.8412097055956398,0.865270112432947,0.8942941266393535,0.8118696140548864,0.7969959351245307,0.8452101810681798,0.819050767054391,0.7807860379347137,0.7713154816640233,0.8619305967229196,0.8408642659205023,0.7696708674160576,0.8732542451162362,0.7503669351646588
NotTwin11,0.8674212586290617,0.725920363272569,0.8962508713024002,0.8950893455037918,0.8679489098573374,0.7467399755274616,0.8273219144525833,0.8553611561119051,0.8255590694012144,0.8704433241504551,0.9719026567374763,0.8770885312971131,0.8505013410063341,0.8960932532746393,0.8225459318735133,0.8138908366167636,0.8615503615638839,0.8571964330771552,0.819336633572193,0.7928384053445456,0.8823134752143138,0.8627021665126992,0.7951488933784022,0.8877808777268653,0.7884816106573453
NotTwin12,0.8719185449561044,0.7866468570105665,0.8636918038025884,0.8832914571732893,0.8498041930370785,0.8134637390945761,0.8534090086369794,0.8784164588828427,0.8454258026520337,0.8185403552285204,0.8922763604558281,0.9913800610170583,0.8660372445983203,0.8447568448799314,0.8191136238259287,0.8465852757302099,0.8505034825071942,0.8935547955373537,0.8455996843524919,0.8292927453400867,0.8684557382320787,0.8788079646828642,0.8535818929030885,0.877370497202371,0.8755532918071681
NotTwin13,0.8291851369689092,0.8009760051669574,0.845249499989741,0.8571039386435023,0.826849493227699,0.7957842783355488,0.8555895238607394,0.8779104683697205,0.8139164240033548,0.8026981410960102,0.8491580032128927,0.8445020384105683,0.9841520559956127,0.8135209350667179,0.8355822430475799,0.8381263530811733,0.8430466115951085,0.8531318545266632,0.8330522500876455,0.8544674297395543,0.8847255912268764,0.8493556686991041,0.8904076134775508,0.8703635210071813,0.8245903142026236
NotTwin14,0.8588755564895312,0.6671730225126525,0.8818712402755926,0.8869122340755219,0.8531709696050128,0.7222015420034604,0.7820468124949559,0.8379329276450492,0.7892932001958213,0.8899899923206985,0.8955990644637959,0.8478592907739788,0.8297829852578462,0.9907012481555112,0.8064007049184697,0.786540406492009,0.8675588660853212,0.8244713043374807,0.7684323916315252,0.7482647917325229,0.854100275779797,0.8365625264349472,0.772485416040476,0.8723970676858591,0.7730830828172817
NotTwin15,0.8260180245338314,0.7015102701518972,0.8653920581435742,0.8464550451563931,0.8485605991909037,0.7509955066359667,0.8397422237042996,0.821917123008382,0.8226236815980172,0.8472186322612101,0.8555197030509187,0.7983048980900709,0.8063067950008377,0.8678690092298695,0.9273905956958227,0.8125818718063853,0.8283588171600096,0.8280917508339436,0.7980396573252905,0.7955198631573712,0.8030863355325587,0.848434095121614,0.7544797416481033,0.8436330916246747,0.7279191775944533
NotTwin16,0.8615676211146559,0.7160226807007682,0.8765515261723565,0.8812325898570004,0.8520931601025126,0.7773031852426475,0.8360126726371275,0.8429952076168327,0.8293163657070559,0.8619215090417754,0.8811319481124196,0.854799420942436,0.8647012038340048,0.8654791788631297,0.8438519345637712,0.9214149589548848,0.8727448143207129,0.8781816880402271,0.8260882618104552,0.8033873460278735,0.851417169022749,0.8796585074332033,0.8195184649324112,0.8766302626159772,0.7967903871670153
NotTwin17,0.8793113259909313,0.7911975056499793,0.8618738583365615,0.8766367857851972,0.8533445743232989,0.8443241478959627,0.854923873324052,0.8589606863788198,0.8408872293820064,0.8080536702470404,0.85687855577363,0.8426102474585299,0.8497431930630917,0.8355458883542027,0.8557191848433188,0.8779294881819024,0.9828920125908771,0.8864905485977154,0.8264862094299715,0.8827611054722394,0.8541881452777851,0.8504351298956699,0.8287918663226652,0.8494457456812832,0.7819285914609619
