Subjects,NotTwin1,NotTwin2,NotTwin3,NotTwin4,NotTwin5,NotTwin6,NotTwin7,NotTwin8,NotTwin9,NotTwin10,NotTwin11,NotTwin12,NotTwin13,NotTwin14,NotTwin15,NotTwin16,NotTwin17,NotTwin18,NotTwin19,NotTwin20,NotTwin21,NotTwin22,NotTwin23,NotTwin24,NotTwin25
NotTwin1,0.9974563404534845,0.9763874207707688,0.9868996076912091,0.9793819551183527,0.9820888716505352,0.9787701279722224,0.9787802635728536,0.9825846448534172,0.951077584941508,0.9871082257669479,0.9867181142572892,0.9871442872504548,0.9787380519664124,0.9799659680262907,0.9650612159753766,0.9832489634663892,0.9891023283515628,0.9861080452676096,0.9717101104423784,0.967233430487195,0.9613884466661105,0.9799509759762766,0.9745338691662615,0.9828066763844623,0.962678424200451
NotTwin2,0.9737706670563917,0.9953300573207794,0.9782833577803678,0.9669142138399591,0.9723196036857513,0.9741489565152956,0.9819115700429898,0.9663687388634816,0.967172355106052,0.9756542714613272,0.9833629904631493,0.9773116396445032,0.9769253967067396,0.9681386951320232,0.9813682877592174,0.9833059590259783,0.9761846501383102,0.9792328623898118,0.9840629050801448,0.9614510375711475,0.9222078604428001,0.9874692183387412,0.9728134203672205,0.9772257872515588,0.9432225610967515
NotTwin3,0.9855331878236373,0.9790401423709871,0.9975128868392864,0.9754794566270029,0.9835977991314615,0.9762145904859381,0.9818469946347395,0.9802520409611777,0.9590313037164846,0.9892444939495559,0.9907484360232741,0.9871796249255036,0.9803950356701185,0.9807188342912401,0.9752402287880919,0.9872691320009159,0.9874312199008461,0.9888886954804154,0.968071022142242,0.9583481785607781,0.9385941247456444,0.9814551314933383,0.9774190490689303,0.9857460264110497,0.9548903381836413
NotTwin4,0.983537465418824,0.9749989606840443,0.9857337780897948,0.9899386814853518,0.988996720322574,0.9736988339332338,0.9782039673310009,0.9771679440240417,0.951049343898317,0.9840173028652217,0.9856429122608691,0.9875032566866478,0.9873247256879188,0.9815446718008731,0.9725336926453674,0.9812599739523415,0.9868930824467221,0.9872541766947758,0.9630009135359519,0.9689620271108266,0.9535963382657235,0.9777241453187282,0.9755090099621522,0.9818422702775235,0.9579283619816419
NotTwin5,0.9835669491625736,0.9726848485527009,0.9850239813376065,0.9836925674431423,0.9969228386695524,0.9772716656546072,0.9823987960301013,0.975409992853957,0.9565148456351578,0.9882724166133362,0.9865627629130875,0.9847996874952262,0.9829161087052625,0.9852950059175891,0.9693553603348234,0.9838787891681453,0.9880226590341228,0.9904979604705269,0.963350299707429,0.9746399929192513,0.9586293449535767,0.9769180820454422,0.976721955786662,0.9849398524795787,0.9568836114426038
NotTwin6,0.9785234217745564,0.9813711944055693,0.9763037584868425,0.9740332978329966,0.9790526810351807,0.9966382409701504,0.9826227892959967,0.9685314235572386,0.9709669614499344,0.9806620398085979,0.9830337488799743,0.9733650353190881,0.981247906041684,0.9669147809614671,0.9634959668205674,0.978544503675979,0.9866462008493485,0.9841531768498433,0.9745125761474926,0.9855505678638166,0.96453994310266,0.9773570202035573,0.9834527724074207,0.9867690556336194,0.949920280106719
NotTwin7,0.9376138504803686,0.9462460378435364,0.9432567842455128,0.942584184326007,0.9497045996326262,0.9386646027146401,0.9532062211882384,0.9389784003611774,0.9321172369229959,0.9401493992369512,0.9509769179271796,0.9415881336878804,0.9388678605940524,0.944019663774539,0.9374590742126958,0.9495735130034637,0.942373483671544,0.954974598284378,0.938623988120181,0.9331496065651919,0.9162912194140735,0.9465463593977036,0.9443819403255316,0.9475185787983473,0.9547418400061868
NotTwin8,0.9698052769774108,0.9597000264017276,0.9669286691695357,0.9692902816294817,0.9682411145631873,0.9598133105776401,0.9626783573706361,0.9787461641353548,0.937928500998608,0.9674589467446371,0.9700776924365178,0.9679990557559468,0.9650846117876861,0.9595233958164233,0.9454653205009211,0.9639977016421604,0.9688120070336093,0.9689624911868093,0.9496507226235806,0.952228008034159,0.9426106487876411,0.9594372889042915,0.9618654340616327,0.9624666397589251,0.9674423097466234
NotTwin9,0.9534341981798422,0.9817765771623308,0.9641400096085888,0.953047279027522,0.9647725531677147,0.9801292242506813,0.982192790538446,0.9432096719100116,0.9935711177263473,0.9667880060863483,0.9769087161900243,0.9594383549762502,0.966870202550764,0.9627169593732661,0.9757970085827787,0.9759883043960065,0.9638928967529072,0.9719696641448287,0.9830622048848978,0.9637138978525239,0.9102035163268536,0.981572533073819,0.9773372307969577,0.9780046354610392,0.9290969704362211
NotTwin10,0.9875306762210522,0.9789218052528856,0.9908486574118298,0.9757352190144974,0.9864380354691966,0.9800766494222568,0.9836207976717669,0.9800219691282759,0.9604650150121237,0.9972984669552156,0.9919499562343236,0.9864015741172617,0.9828928400572605,0.986116260628084,0.9785639555856493,0.9882397256946751,0.9871161781587076,0.9878104451684849,0.9729393454389772,0.9634147200844332,0.9427635874170146,0.9807741736217739,0.9773278734355888,0.9874154349352042,0.9511646988362058
